Requirement_ID,ICD_ID,Description,Source,Verification_Method,Status
RQ-ICD-02-05-001,ICD-02-00-05-001,Maintenance interval data sync,ATA-05,Inspection,Verified
RQ-ICD-02-12-001,ICD-02-00-12-001,H2 refueling protocol compliance,ISO-19881,Test,Verified
RQ-ICD-02-21-001,ICD-02-00-21-001,H2 ventilation control interface,ATA-21,Test,Verified
RQ-ICD-02-21-002,ICD-02-00-21-001,Emergency 50 ACH ventilation trigger,Safety Analysis,Test,Verified
RQ-ICD-02-24-001,ICD-02-00-24-001,Fuel cell power monitoring,ATA-24,Test,Verified
RQ-ICD-02-24-002,ICD-02-00-24-001,Load management interface,ATA-24,Test,Verified
RQ-ICD-02-28-001,ICD-02-00-28-001,Real-time quantity display accuracy Â±50 kg,ATA-28,Test,Verified
RQ-ICD-02-28-002,ICD-02-00-28-001,Leak detection alert latency <100 ms,ATA-28,Test,Verified
RQ-ICD-02-28-003,ICD-02-00-28-001,Emergency isolation command response <500 ms,Safety Analysis,Test,Verified
RQ-ICD-02-28-004,ICD-02-00-28-001,System status update rate minimum 1 Hz,ATA-28,Test,Verified
RQ-ICD-02-47-001,ICD-02-00-47-001,Tank inerting operations interface,ATA-47,Test,Verified
RQ-ICD-02-71-001,ICD-02-00-71-001,Fuel cell operations control,ATA-71,Test,Verified
RQ-ICD-02-95-001,ICD-02-00-95-001,State sync latency <100 ms (95th percentile),ATA-95,Test,Verified
RQ-ICD-02-95-002,ICD-02-00-95-001,Advisory delivery latency <5 seconds,ATA-95,Test,Verified
RQ-ICD-02-95-003,ICD-02-00-95-001,Connectivity loss graceful degradation,ATA-95,Test,Verified
RQ-ICD-02-EXT-010-001,ICD-02-00-EXT-010,H2 refueling equipment compatibility,ISO-19881,Inspection,Verified
RQ-ICD-02-EXT-020-001,ICD-02-00-EXT-020,ATC datalink CPDLC compliance,ICAO,Test,Verified
