Data_Element_ID,Data_Element_Name,Definition,Data_Type,Unit_of_Measure,Valid_Range,Default_Value,Source_System,Target_System,Update_Frequency,Quality_Rule,Owner,Status
DD-85-001,H2_Tank_Level,Liquid hydrogen tank level measurement,Float,Percentage,0.0-100.0,NULL,LH2 Tank Level Sensor,SCADA System,Real-time (1s),Range check 0-100,H2 Operations,Active
DD-85-002,H2_Tank_Pressure,Hydrogen tank internal pressure,Float,Bar,0.0-10.0,NULL,Tank Pressure Sensor,SCADA System,Real-time (1s),Range check + alarm,H2 Operations,Active
DD-85-003,H2_Tank_Temperature,Liquid hydrogen tank temperature,Float,Celsius,-260.0--250.0,NULL,Tank Temperature Sensor,SCADA System,Real-time (1s),Cryogenic range check,H2 Operations,Active
DD-85-004,H2_Flow_Rate,Hydrogen mass flow rate during dispensing,Float,kg/h,0.0-1000.0,0.0,Flow Meter,Dispenser Control,Real-time (100ms),Flow continuity check,Fueling Operations,Active
DD-85-005,H2_Purity,Hydrogen fuel purity level,Float,Percentage,99.95-100.0,NULL,Gas Analyzer,Quality Control System,Per batch,ISO 14687 compliance,Quality Assurance,Active
DD-85-006,Electrical_Voltage,Electrical system voltage measurement,Float,Volts,400.0-480.0,NULL,Voltage Sensor,Electrical Distribution,Real-time (1s),Voltage tolerance check,Electrical Ops,Active
DD-85-007,Electrical_Current,Electrical system current draw,Float,Amperes,0.0-2000.0,0.0,Current Transformer,Electrical Distribution,Real-time (1s),Overcurrent protection,Electrical Ops,Active
DD-85-008,Electrical_Power,Active power consumption,Float,kW,0.0-2500.0,0.0,Power Meter,Energy Management,Real-time (5s),Power factor check,Energy Management,Active
DD-85-009,Electrical_Frequency,AC power frequency,Float,Hz,59.5-60.5,60.0,Frequency Meter,Electrical Distribution,Real-time (1s),Frequency deviation alarm,Electrical Ops,Active
DD-85-010,Emergency_Gen_Status,Emergency generator operational status,Enum,N/A,OFF|STANDBY|RUNNING,STANDBY,Generator Controller,Facility Management,Real-time (1s),State machine validation,Emergency Systems,Active
DD-85-011,Fire_Alarm_Status,Fire detection system alarm status,Boolean,N/A,TRUE|FALSE,FALSE,Fire Detection System,Safety System,Real-time (immediate),Alarm escalation rule,Fire Safety,Active
DD-85-012,H2_Leak_Detected,Hydrogen leak detection flag,Boolean,N/A,TRUE|FALSE,FALSE,H2 Leak Detectors,Safety System,Real-time (immediate),Emergency shutdown trigger,Safety Systems,Active
DD-85-013,H2_Leak_Concentration,Hydrogen gas concentration in air,Integer,PPM,0-1000,0,H2 Gas Sensor,Safety System,Real-time (1s),Safety threshold: 1000 ppm (0.25% LEL; LEL = 40000 ppm),Safety Systems,Active
DD-85-014,Ambient_Temperature,Outdoor ambient temperature,Float,Celsius,-40.0-50.0,NULL,Weather Station,Environmental Monitoring,Real-time (60s),Sensor health check,Facility Operations,Active
DD-85-015,Wind_Speed,Wind speed measurement,Float,m/s,0.0-50.0,NULL,Anemometer,Environmental Monitoring,Real-time (10s),Gust detection,Facility Operations,Active
DD-85-016,Wind_Direction,Wind direction in degrees from North,Float,Degrees,0.0-360.0,NULL,Wind Vane,Environmental Monitoring,Real-time (10s),Compass validation,Facility Operations,Active
DD-85-017,Atmospheric_Pressure,Barometric pressure,Float,mbar,900.0-1100.0,1013.25,Barometer,Environmental Monitoring,Real-time (60s),Pressure trend analysis,Facility Operations,Active
DD-85-018,Aircraft_Stand_Occupied,Aircraft parking stand occupancy status,Boolean,N/A,TRUE|FALSE,FALSE,Stand Sensor,Apron Management,Real-time (5s),Stand allocation logic,Ground Operations,Active
DD-85-019,Aircraft_Registration,Aircraft tail number/registration,String,N/A,Pattern: [A-Z]{1-2}[A-Z0-9]{1-5},NULL,Flight Information,Ground Operations,Per arrival,Format validation,Ground Operations,Active
DD-85-020,Flight_Number,Airline flight number,String,N/A,Pattern: [A-Z0-9]{2}[0-9]{1-4},NULL,Flight Information,Ground Operations,Per flight,Airline code check,Ground Operations,Active
DD-85-021,Scheduled_Arrival_Time,Scheduled aircraft arrival time,DateTime,ISO 8601,Valid datetime,NULL,Flight Information,Ground Operations,Per schedule update,Future timestamp check,Ground Operations,Active
DD-85-022,Actual_Arrival_Time,Actual aircraft arrival time,DateTime,ISO 8601,Valid datetime,NULL,Stand Detection,Ground Operations,On arrival,Timestamp consistency,Ground Operations,Active
DD-85-023,Turnaround_Start_Time,Aircraft turnaround start time,DateTime,ISO 8601,Valid datetime,NULL,Ground Crew App,Turnaround Management,On event,Sequence validation,Ground Operations,Active
DD-85-024,Turnaround_End_Time,Aircraft turnaround completion time,DateTime,ISO 8601,Valid datetime,NULL,Ground Crew App,Turnaround Management,On event,Duration calculation,Ground Operations,Active
DD-85-025,H2_Dispensed_Mass,Total mass of H2 dispensed,Float,kg,0.0-10000.0,0.0,Dispenser Flow Integrator,Fuel Accounting,Per fueling,Mass balance check,Fueling Operations,Active
DD-85-026,GPU_Connected,Ground Power Unit connection status,Boolean,N/A,TRUE|FALSE,FALSE,GPU Connector,Ground Services,Real-time (5s),Electrical handshake,Ground Services,Active
DD-85-027,GPU_Power_Output,GPU active power output,Float,kVA,0.0-500.0,0.0,GPU Power Meter,Ground Services,Real-time (1s),Load monitoring,Ground Services,Active
DD-85-028,PCA_Connected,Pre-Conditioned Air unit connection status,Boolean,N/A,TRUE|FALSE,FALSE,PCA Connector,Ground Services,Real-time (5s),Duct pressure check,Ground Services,Active
DD-85-029,PCA_Temperature_Setpoint,PCA target temperature setpoint,Float,Celsius,15.0-25.0,20.0,PCA Controller,Ground Services,On change,Comfort range validation,Ground Services,Active
DD-85-030,Water_Service_Complete,Potable water service completion flag,Boolean,N/A,TRUE|FALSE,FALSE,Water Service Truck,Ground Services,On completion,Service log check,Ground Services,Active
DD-85-031,Waste_Service_Complete,Waste water service completion flag,Boolean,N/A,TRUE|FALSE,FALSE,Waste Service Truck,Ground Services,On completion,Service log check,Ground Services,Active
DD-85-032,Baggage_Load_Count,Number of baggage items loaded,Integer,Count,0-500,0,Baggage Loader,Cargo Operations,Per operation,Count validation,Cargo Operations,Active
DD-85-033,Cargo_Weight_Total,Total cargo weight loaded,Float,kg,0.0-50000.0,0.0,Cargo Scale,Cargo Operations,Per operation,Weight limit check,Cargo Operations,Active
DD-85-034,Security_Gate_Status,Security gate open/closed status,Enum,N/A,OPEN|CLOSED|FAULT,CLOSED,Gate Controller,Access Control,Real-time (1s),State transition rules,Security,Active
DD-85-035,Access_Card_ID,Personnel access card unique identifier,String,N/A,Pattern: [0-9]{10},NULL,Card Reader,Access Control,Per swipe,Card validity check,Security,Active
DD-85-036,CCTV_Recording_Status,Video surveillance recording status,Enum,N/A,RECORDING|STOPPED|ERROR,RECORDING,CCTV System,Security Monitoring,Real-time (60s),Storage check,Security,Active
DD-85-037,Nitrogen_Pressure,Nitrogen service pressure,Float,Bar,0.0-350.0,NULL,Nitrogen Cart Gauge,Ground Services,Real-time (1s),High pressure safety,Ground Services,Active
DD-85-038,Hydraulic_Pressure,Hydraulic test cart pressure,Float,PSI,0.0-5500.0,NULL,Hydraulic Gauge,Maintenance Operations,Real-time (1s),Pressure limit check,Maintenance,Active
DD-85-039,Compressor_Status,Air compressor operational status,Enum,N/A,OFF|RUNNING|FAULT,OFF,Compressor Controller,Utility Systems,Real-time (5s),Operational hours tracking,Utility Operations,Active
DD-85-040,Vaporizer_Outlet_Temp,H2 vaporizer outlet temperature,Float,Celsius,-50.0-50.0,NULL,Vaporizer Temp Sensor,H2 Distribution,Real-time (1s),Phase change monitoring,H2 Operations,Active
